"sentence","category"
"Practically useless.","OTHER"
"cool but cant upload themes","PROBLEM DISCOVERY"
"Excellent service and good performance","OTHER"
"I can update loudspeaker malayalam blog with this app easily.thanks wordpress","OTHER"
"I love WordPress, but this app is garbage.","OTHER"
"I've lost several blogs already that I attempted to post.","OTHER"
"Just now I rewrote a blog twice and both times it just vanished when I uploaded it!","INFORMATION GIVING"
"I get nothing but the title and an empty body.","OTHER"
"I am fed up with it.","OTHER"
"There are no backups, zero record of the blog ever being there, and when I log in on my laptop the draft pages look completely different.","OTHER"
"Seriously, what is going on with this?","OTHER"
"This app is useless- don't download it unless you like being angry","INFORMATION GIVING"
"Keeps saying it's downloading and nothing happens.","OTHER"
"My internet connection is strong too.","OTHER"
"Lovely.","OTHER"
"I wrote a long blog and tried to publish it and it got deleted, how Idk?","INFORMATION GIVING"
"I refreshed, I restarted my phone and logged out and back in again and poof, I can't even find it in the trashed section.","PROBLEM DISCOVERY"
"SOOOO DISAPOINTED","OTHER"
"I rate this appointment a ten extravagant top notch website with superior people you can connect to to make your blog in a controled professional manner.","OTHER"
"I like its usability.","OTHER"
"Its cool","OTHER"
"Pls give an option to search ppl","OTHER"
"I just wrote a whole article, the button for inserting images did not respond.","OTHER"
"If I touched the outside of the text box, I couldn't scroll back down to continue my article, no scroll bar for text box.","PROBLEM DISCOVERY"
"When I went to preview the article, it appeared as if it had posted it instead.","OTHER"
"So I pressed the back button to get back and edit, suddenly there was my home screen.","OTHER"
"I went back to the app and everything was gone","OTHER"
"An easy to handle/use application.","OTHER"
"Please fix this .temporary resets password NOT LIKE .ak","PROBLEM DISCOVERY"
"I've tried to login several times, but it always ends up with a notification saying, failed to connect to Wordpress server.","PROBLEM DISCOVERY"
"I wouldn't write content on this (mainly because I'd much rather type on a keyboard), but for keeping up with comments it's ideal.","OTHER"
"Be useful if comments manually marked as spam didn't show up in the comments list though.","OTHER"
"It was working properly before updates but now I does not upload anything, It always give fail error.","PROBLEM DISCOVERY"
"It needs to be fixed.","PROBLEM DISCOVERY"
"Great app!","OTHER"
".","OTHER"
"I write Fanfiction aaand when im ready to post it wants to act up.","OTHER"
"It either spaces things that dont need to be or deletes all my work from being in drafts.i love the app but cmon","OTHER"
"Just almost because I can't find a way to insert a video player using a Youtube link.","PROBLEM DISCOVERY"
"Nevertheless, I've just published my first via-android-post and I'm happy.","OTHER"
"Will give five stars once the video insert is solved.","OTHER"
"Thanks ;)","OTHER"
"Its just wonderful to read in this app.","OTHER"
"May be because of that pleasant look.","OTHER"
"The light blue color on the top, the nice font that keeps your eyes running through the letters.","OTHER"
"Needs title tag text area in link insertion.","OTHER"
"Upload of updated post fails.","PROBLEM DISCOVERY"
"N","OTHER"
"This was great but for past few weeks it is not publishing my posts.","OTHER"
"Will not upload picture.","OTHER"
"Please sort it out or befor i revert back to blogger full time.","OTHER"
"very love","OTHER"
"I can't see the notifications from WordPress on my phone.","PROBLEM DISCOVERY"
"It's happened for almost one week.","OTHER"
"I've already check the notification settings out and there's nothing wrong with it.","OTHER"
"Please help me fix this issue.","INFORMATION GIVING"
"I communicate a lot through wordpress and this problem bothers me.","OTHER"
"Michael","OTHER"
"Sometimes wp is blocked in my country, and it takes much more time to get into wp through app during that time.","PROBLEM DISCOVERY"
"If you guys can fix this too, it would be just great.","FEATURE REQUEST"
"Error 3 times","OTHER"
"Aha aha i loved it because it's better than blogger.happy!!","OTHER"
"This last update really brought the app up to date.","OTHER"
"The interface is much cleaner and it easier to post from my mobile because the system is so streamlined to the web version.","OTHER"
"Finally!","OTHER"
"I might just use it on my phone.","INFORMATION GIVING"
"I had a blog but never posted to it until I got this app.","OTHER"
"I use my tablet much more than my computer at this point, and the app means that it's right here, reminding me to post whenever I'm working or playing on my tablet.","INFORMATION GIVING"
"I like that I can read the blogs I'm subscribed to, post, and read comments all in the same place.","OTHER"
"Thanks for some great software!","OTHER"
"This is a great app and it's speed is remarkable.","OTHER"
"However, since I have enabled two-step authentication, logging in the first time from my phone (even after using an application specific password) turned out to be problematic.","OTHER"
"Could there be a step by step instructions somewhere?","INFORMATION SEEKING"
"Or is there a way to remotely authorize the app?","INFORMATION GIVING"
"Overall a great App but the problem we get about an error when ever we Upload Media.","OTHER"
"I given it 5 star because I Love it.","OTHER"
"but we need a better Uploader to Upload Media files .","FEATURE REQUEST"
"It was a great app and very handy and useful to me.","OTHER"
"I was no one really using computer to post on my blog with this but with the last update I just can't upload images.","PROBLEM DISCOVERY"
"Not in mobile not in WiFi.","OTHER"
"Already cleaned data and Uninstalled to install again and doesn't work.","PROBLEM DISCOVERY"
"It will be just taking space in phone until an update fix this.","INFORMATION GIVING"
"Please fix soon.","PROBLEM DISCOVERY"
"This app is very important to me.","OTHER"
"Useful","OTHER"
"Please add support for creating new bbpress topics as well.","OTHER"
"Goooddddd","OTHER"
"dami blogger","OTHER"
"This comes highly recommended!","OTHER"
"&lt;3","OTHER"
"Just published a very long post and it uploaded a blank post and deleted everything I'd written.","INFORMATION GIVING"
"Not the first time this rotten app has deleted my work.","OTHER"
"Love this app I'm glad they have an app now I can updated my studio page on the go","OTHER"
"Cool app for me!!","OTHER"
"Ohh this is very nice app.","OTHER"
"It makes me easy to post to my blog.","OTHER"
"Simple and really helpful for me.","OTHER"
"I like this application but the problem is on the ""post"".","PROBLEM DISCOVERY"
"I would like to suggest that their will be a ""search button"" so it can be easily find the certain topics or writings without keep on scrolling and scrolling.","OTHER"
":) I am looking forward for this soon.","OTHER"
"Thanks a lot.","OTHER"
"I love this","OTHER"
"CHOOSE FILE button doesn't work for which I m unable to upload themes or plugins or even images.","PROBLEM DISCOVERY"
"I m using Samsung Galaxy S advance.","OTHER"
"Kindly fix it ASAP.","PROBLEM DISCOVERY"
"Disappointing for me as I tried many times it isn't accepting the details.","OTHER"
"The app has no flaws for me.","OTHER"
"It functions smoothly and i have no complaints about it.","OTHER"
"There is, however, one feature i would personally like to see.","OTHER"
"An upload feature.","OTHER"
"So that it isn't necessary for me to write the post up in wordpress itself.","FEATURE REQUEST"
"How to add featured image?","INFORMATION SEEKING"
"How to choose multiple image to be uploaded?","INFORMATION SEEKING"
"My laptop has no face Cam so I can't save a photo as my profile picture!","PROBLEM DISCOVERY"
"Make it so you can change your profile picture from your phone!!","OTHER"
"Smooth working with the galaxy S5.","OTHER"
"I love it.","OTHER"
"Keren","OTHER"
"Why aren't the pages loading?","INFORMATION SEEKING"
"On the handset as well as on the computer.","OTHER"
"Good","OTHER"
"Great app","OTHER"
"I was able to post only one article.","INFORMATION GIVING"
"I cannot add any more entries and when I click the left part, the only options available are ""reader"" and ""notifications"".","PROBLEM DISCOVERY"
"How do I get back to my dashboard?","INFORMATION SEEKING"
"Platform","OTHER"
"Seems like there are many directories to go through until it gets to desired action.","OTHER"
"Interface is bland - make categories (& section titles easier to identify?)","OTHER"
"more popup text entry boxes would be great instead of scrolling so much.","FEATURE REQUEST"
"Zaphter","OTHER"
"Very well built, clean UI, super simple to use and it 'just works' so it has all the necessities.","OTHER"
"The only thing I'd really love to see in the short term is for multi site support.","OTHER"
"I manage multiple WordPress sites and every time I have to logout and back in.","OTHER"
"I wish it saved the login profiles so I didn't have to constantly key in all the details, or better yet, just allowed me to change profiles (ala how its done for gmail or drive).","FEATURE REQUEST"
"That feature would save me a lot of time.","OTHER"
"excellent","OTHER"
"Awesome & Free","OTHER"
"App is very good but you can't customize theme from here.","PROBLEM DISCOVERY"
"Will be really wonderful if that could be added.","FEATURE REQUEST"
"I have nothing to say","OTHER"
"I really like this app but I cannot get the quick press widget to work.","PROBLEM DISCOVERY"
"This would be very helpful as I use it to host our church's blog and we post a lot of pictures and quick notes.","INFORMATION GIVING"
"This app is good and solves a lot of problems with editing on tablets using browser.","OTHER"
"I feel this app needs good modifications, like there is no menu button which is used a lot by website makers.","FEATURE REQUEST"
"Please Please Please update it.","FEATURE REQUEST"
"A big advantage is this app is fast !","OTHER"
"Good for me .","OTHER"
"Great for projects","OTHER"
"Simple, need to manage comments and this app is sufficient enough for self hosted blog, better than browser logged in","FEATURE REQUEST"
"Blogging, easy!","OTHER"
"Fast","OTHER"
"very useful for me","OTHER"
"Very handy app for making corrections and small tweaks.","OTHER"
"I wish I could filter my posts by category as well.","FEATURE REQUEST"
"Just mailing a new post is way easier","OTHER"
"Me gust a su contenido,es facil y  no puedo vivir sin Ella","OTHER"
"When downloaded this app and it didn't installed with some errors it doesn't install in my phone I  have good Space in phone","OTHER"
"Having an issue with not being able to follow or un-follow people or comments not going through.","OTHER"
"Great otherwise!","OTHER"
"I run a podcast called Stashcast.","OTHER"
"I can update the blog on the move which is awesome all from this handy app!","OTHER"
"I love how the WordPress app is able to allow one to update on the go.","OTHER"
"The icons are all very good and one does not need to rely on a computer to update his/her thoughts!","OTHER"
"I can't submit my post -_- .","PROBLEM DISCOVERY"
"This sucks","OTHER"
"Improve it fast.","OTHER"
"Everything working go.","OTHER"
"Pls add save button on post setting page too.","FEATURE REQUEST"
"Every time i need to click back for this.","FEATURE REQUEST"
"Great","OTHER"
"I would love to use this app but it does not seem to let me edit my hosted WP site.","FEATURE REQUEST"
":(  Is there a seperate app for that and I have missed it, or what?","INFORMATION SEEKING"
"Great app.","OTHER"
"Easy to use, edit and read.","OTHER"
"Love it","OTHER"
"I write my blog using this.","OTHER"
"Excellent interface,very intuitive.","OTHER"
"I love to use this","OTHER"
"Love it!","OTHER"
"Works very good","OTHER"
"Awesomeness.","OTHER"
"Great app.","OTHER"
"Works smoothly and is easy to use.","OTHER"
"My only request would be a dark mode.","OTHER"
"The white background is hard on the eyes.","OTHER"
"Thanks!","OTHER"
"Write and writing","OTHER"
"I have not lost a post in quite some time, so am returning to my five star rating.","OTHER"
"Thanks for the improvements.","OTHER"
"Very helpful app","OTHER"
"Many things improved.","OTHER"
"Hope more to come","OTHER"
"Will not upload images, it says it has and when u go on the internet it just has the HTML strip.","INFORMATION GIVING"
"I use it all the time from my Samsung Galaxy 3!","OTHER"
"Great for photo uploads,  too!","OTHER"
"This app deletes half of my posts before I publish them.doubling my work!!!","OTHER"
"It makes me irrationally angry.","OTHER"
"Fix your app!!!","PROBLEM DISCOVERY"
"I started blogging via this app.just can anyone help me with facebook and twitter linking.","OTHER"
"This is my site from the    wpress please visit.","OTHER"
"Yeaaaah","OTHER"
"Nice.","OTHER"
"Adding the more bit is fairly hit n miss, seems to overlap text if you try to insert it after you've done the writing","FEATURE REQUEST"
"Not bad","OTHER"
"No search, no 2FA, no WYSIWYG editor, some markup tags are rendered in read mode.","OTHER"
"Needs much improvement to get 5 stars.","OTHER"
"Love u","OTHER"
"I initially gave this app 5 stars.","OTHER"
"But I have to settle for 3 stars after I used it.","INFORMATION GIVING"
"I'vehad some difficulties finding drafts of my posts.","OTHER"
"I had to check my blog on a browser before I can edit my drafts again and publish them so that partwas kind of unnerving.","OTHER"
"If that can be fixed, then it's back to 5 stars!","OTHER"
"I can finally see my posts.","OTHER"
"I can see my comments as well too.","OTHER"
"The upgrade has been much better the notifications come through, everything comes as it should.","OTHER"
"It's a great app.","OTHER"
"Loved it","OTHER"
"t","OTHER"
"A clean UI but I can't search for blogs using keywords else a good app.","PROBLEM DISCOVERY"
"Thx for fixed :)","OTHER"
"Good application","OTHER"
"Formatting of article is still missing.","FEATURE REQUEST"
"If I have edited an article on desktop and only added headers h1 &  h2, they don't show up on phone.","OTHER"
"Also please add image compression within app.","FEATURE REQUEST"
"Simple Smooth Professional, inspires Blogging :)","OTHER"
"I love it.","OTHER"
"But there is something that WordPress had never improve.","OTHER"
"I can't put the main photo on a post.","PROBLEM DISCOVERY"
"I manage a news media and its really important the main photo because I can't put the photo for the preview on the headlines from the app.","PROBLEM DISCOVERY"
"I have to go to the browser.","OTHER"
"Not liking that.","OTHER"
"two thumbs up!","OTHER"
"I'm new but I love WPRESS","OTHER"
"I hopefully better than before.","OTHER"
":) thank you.","OTHER"
"But I don't see the blogs that I follow in my reader.","PROBLEM DISCOVERY"
"I tried the new 2.9 version but can't edit anything.","PROBLEM DISCOVERY"
"An error message ""website not available"" comes up with link to Amazon.","OTHER"
"WordPress all the way!","OTHER"
"Let me add stickies and then it's perfect.","FEATURE REQUEST"
"Es buena, es algo complicada de usar pero sin duda muy util para editar tus blogs.","OTHER"
"Don't use it that much because I'm on a PC the majority of the time but it sure can be a life saver in a pinch when you're on the go.","INFORMATION GIVING"
"Well designed and easy to use.","OTHER"
"I have been blogging with Wordpress for over 4 years and I love it.","OTHER"
"Every article looks great on the platform.","OTHER"
"Keep up the great job Wordpress :)","OTHER"
"Great app to post entries, control comments and view stats while traveling or running errands.","INFORMATION GIVING"
"Never had any problems.","PROBLEM DISCOVERY"
":) Update: currently working with a Galaxy S2, still no problems or complaints.","OTHER"
"Add some styling option for post make its post editor to something like its pc post editor","OTHER"
"I like the app.","OTHER"
"It is easier for me to update or start a new posts from my phone.","INFORMATION GIVING"
"What I don't like is the limitation to add images or videos in a specific part of the post,  unlike in the web version.","INFORMATION SEEKING"
"Lol, i found the desktop version too complicated.","OTHER"
"And i almost quit using it, but i decide to give it a try to the android version.","OTHER"
"And i am back on the road","OTHER"
"Perfect for those who can't always online from PC, but want to post to their blogs everytime.","PROBLEM DISCOVERY"
"The connection is fast.","OTHER"
"Great.","OTHER"
"Force closes all the time with new version.","OTHER"
"I can't upload my post and can't see all my post.","PROBLEM DISCOVERY"
"Please fix it, it's uncomfortable!!","PROBLEM DISCOVERY"
"Just awesome, nothing else!","OTHER"
"It is really helpful as i use it everyday.","OTHER"
"I can check my blog as well as checking my stat.","OTHER"
"Why do you need all these permission","INFORMATION SEEKING"
"Looks gorgeous on my Nexus 10.","OTHER"
"I love it so far.","OTHER"
"Joss","OTHER"
"Making blogging easy on the go and getting comments.","OTHER"
"Still was buggy, hoping new updates improve!","OTHER"
"This is the world that will make money maybe I say love a Book to for we are a homework paper with going to libaray and the bookstores","OTHER"
"Won't let me view my site.","OTHER"
"This would be a 5 star review if I could do the following: insert multiple photos at the same time (or add multiple media files to a post, as I believe you can in the iOS app) and manually set the location.","OTHER"
"These two things are making it painful keeping my travel blog updated using my Nexus 7.","OTHER"
"Great app","OTHER"
"Love it.","OTHER"
"Won't allow me to log In :-(","OTHER"
"NSD","OTHER"
"Fine for writing on the go without having to carry a laptop, even without internet.","OTHER"
"Stats section doesn't always work.","PROBLEM DISCOVERY"
"Very good for keeping your webpage up to date.","OTHER"
"Thank you!","OTHER"
"Loving the app.","OTHER"
"Really helpful.","OTHER"
"The app closes suddenly for no reason.","OTHER"
"I've deleted and reloaded to no avail.","OTHER"
"PLEASE fix it!","PROBLEM DISCOVERY"
"I use my samsung for my blog all the time.","OTHER"
"Ready to throw in the towel!","OTHER"
"This good app and wordpress is good blog :-)","OTHER"
"Nice app to improve our education communication!!","OTHER"
"Love it.","OTHER"
"Especially the ability to rate, like, and follow posts.","OTHER"
"I love this App.","OTHER"
"And the people I've met!","OTHER"
"Satisfactory","OTHER"
"Very useful app indeed","OTHER"
"Annoying app.","OTHER"
"Can't post.","PROBLEM DISCOVERY"
"Ugh.","OTHER"
"why theres no summaries in statistic area?","INFORMATION SEEKING"
"I have used many apps and must say this is the worst UI ever!","OTHER"
"How difficult is it to get the display aligned correctly?","OTHER"
"Totally useless compared to the great website!","OTHER"
"Really poor app.","OTHER"
"Pretty much unusable.","OTHER"
"Include a search bar and I'll give it 5 stars!","OTHER"
"Feedback","OTHER"
"The Android version doesn't allow you to upload featured image for posts and has a lot less options please update","FEATURE REQUEST"
"I love this app.","OTHER"
"I am a novice but so far so good.","OTHER"
"Thanks","OTHER"
"App is usable, but it doesn't synchronize properly.","OTHER"
"Changes made on the computer aren't synchronized, so its quite possible to inadvertently undo changes.","OTHER"
"Use with caution.","OTHER"
"Great Application","OTHER"
"Last update caused consistent crashing.","OTHER"
"Please fix asap!!!","PROBLEM DISCOVERY"
"I love being able to do that!","OTHER"
"Terrible app- always refers to local version if you've updated live version on another device.","OTHER"
"Won't let you do loads of things and navigation within boxes is really annoying.","OTHER"
"I can never seem to do what I want with word press on a mobile grrrr!","PROBLEM DISCOVERY"
"No matter what I do, the post I just spent twenty minutes writing will only save as a local draft.","INFORMATION GIVING"
"It will not publish from the app to the website.","OTHER"
"And then the app crashes and I lost all my work.","PROBLEM DISCOVERY"
"I don't know if the app isn't working or is just pointless, but I will be uninstalling unless there is an update quickly.","PROBLEM DISCOVERY"
"I can not put videos from my tablet Nexus 7.","PROBLEM DISCOVERY"
"If they can fix that error I'd appreciate it.","PROBLEM DISCOVERY"
"Thanks","OTHER"
"Unk","OTHER"
"Plugin Add and Remove please","OTHER"
"Its cool","OTHER"
"Looks and perform much better, the best app for blogging on the go.","OTHER"
"Please add a search feature for blogs or authors, to follow a known blog.","OTHER"
"The button that says""pull down to refresh"" covers the title and status of the most recent post completely, so that I cannot see the status or anything about my most recent post.","PROBLEM DISCOVERY"
"Serious flaw.","OTHER"
"Why don't add the dashboard in  the app for total control of the blog.","OTHER"
"It would be cool if you could add spaces for meta tags, keywords and descriptions, so as to improve seo.then I'd give it a 5","FEATURE REQUEST"
"Steven D Nelson","OTHER"
"The main reason for installing this app was for the ability to send post.","OTHER"
"That option is not available in the menu.","INFORMATION GIVING"
"The only options I have are read and notification.","OTHER"
"I'm deleting.","OTHER"
"Blogers also have done like this","OTHER"
"Its a nice app, but I cant remove the blue line from the top of the screen, which says: Tip: pull down to refresh.","PROBLEM DISCOVERY"
"shows a few pages, but most are blank  would be good if this were sorted","FEATURE REQUEST"
"Portable, convenient.","OTHER"
"If be nice if there were more post options, like featured image and theme post options.","OTHER"
"I'm also having issues refreshing, as well as issues getting to the homepage.","PROBLEM DISCOVERY"
"I accidentally clicked to start a new post, and now my WordPress app is stuck on that page.","OTHER"
"If I click to go back to my blog, the app just closes.","OTHER"
"Things were going smoothly until the last upgrade.","OTHER"
"Since then, my new posts don't show up in my android device anymore.","OTHER"
"Don't understand why you guys like to fix something that isn't broken.","PROBLEM DISCOVERY"
"Would be nice if it stopped booting me randomly and let me log in.","FEATURE REQUEST"
"Sro","OTHER"
"Posts are not uploaded","OTHER"
"It's really great platform to share.","OTHER"
"Gail Colclough","OTHER"
"load older posts (almost a deal breaker), save posts for offline reading (otherwise Chrome would do just fine), more account settings and config in app","OTHER"
"App used to be fast and functional.","OTHER"
"Have problems uploading HD photos to my site.","OTHER"
"No one has answered 9 TROUBLE REPORTS.from HTC One Metal M8","OTHER"
"1 star (down): Reader does not show posts from all blogs I follow.","PROBLEM DISCOVERY"
"Stats are off.","OTHER"
"I am annoyed.","OTHER"
"The alternate option, mobile web, is terrible as well.","OTHER"
"I'm ready to throw in the towel on wordpress // previous review &gt;&gt; 2 stars: App is glitchy.","OTHER"
"Super slow response time.","OTHER"
"Annoying!","OTHER"
"Works perfectly fine.","OTHER"
"Very much useful for me","OTHER"
"Cant post my blog using my note 3.","PROBLEM DISCOVERY"
"Looks like I still need to use a computer just to let me post a page.","FEATURE REQUEST"
"Help please.","OTHER"
"Thanks","OTHER"
"Must have","OTHER"
"Good app","OTHER"
"Love the ability to update our website from the phone.","OTHER"
"Great app","OTHER"
"good","OTHER"
"The main reason I use this app is to share my posts.","OTHER"
"Since I updated to this version of the app it no longer updates my posts .","INFORMATION GIVING"
"Once in awhile it says ""pull down to refresh"" or something obvious, I can't tell for sure because it won't let me pull it down.","PROBLEM DISCOVERY"
"If it keeps up this way I'm going to uninstall it and use my laptop to share posts.","OTHER"
"It doesn't always keep up with the reader either but it's not as bad as when I try to update my posts, I like to see them on my phone.I liked it better before I updated it","PROBLEM DISCOVERY"
"I can't use the image widget because you need a URL address for your image.","FEATURE REQUEST"
"Even though my images are right there in my WP media.","OTHER"
"If you trash a comment on your standalone blog's admin panel before doing so in your app the comment will not go away in the app.","OTHER"
"Any attempts to edit, mark as spam or trashing the comment yields an error.","OTHER"
"The only work around is to log out of the app then log back in to each and every one of your stand alone blogs.","OTHER"
"Quite a chore if you have several of them.","OTHER"
"Features too limited.","OTHER"
"If I can't manage my site as well as I can in a browser why bother with it?","PROBLEM DISCOVERY"
"excellent app","OTHER"
"It is very nice app","OTHER"
"App looks good and convenient.","OTHER"
"However it's not allowing to copy paste data from other app.","OTHER"
"It says use ctrl+v to paste.","OTHER"
"How am I suppose to do that in android.","INFORMATION SEEKING"
"Nice app","OTHER"
"@wordpress","OTHER"
"/?","OTHER"
"Help me , I'm don't know Nick.","OTHER"
"Gud efforts to give a great blogging experience.but freezes a lot.","PROBLEM DISCOVERY"
"Needs a bit updating.","OTHER"
"Cud give only 4 star nw.","OTHER"
"What not a treasure of knowledge","OTHER"
"Not systematically designed.","OTHER"
"Deleting.","OTHER"
"App always shows error in publishing and deleting posts.","PROBLEM DISCOVERY"
"Excellence.","OTHER"
"You got a nullpointer exception on the login screen, if i press back.","OTHER"
"Amazing Status","OTHER"
"I just started using this app and it does not appear to be updating.","OTHER"
"I go to the ""My Posts"" tab and it is not up to date.","OTHER"
"I guess it's good if you want to ust use it to post content but not to keep up with what you've been working on.","INFORMATION GIVING"
"My blog is something important to me, and the fact I can use on the go helps me so much!","OTHER"
"working great","OTHER"
"Can't log in","PROBLEM DISCOVERY"
"I think it's better on the computer than your phone js","OTHER"
"Best app for using wordpress on my tablet","OTHER"
"Why I can't install it ?","PROBLEM DISCOVERY"
"Always error when I was trying to install it.","OTHER"
"Can you please help me ?","OTHER"
"Easy to manage multiple blogs while on the go.","OTHER"
"Nice handdy app every blogger should have.","OTHER"
"Very good apps","OTHER"
"Working with the visual editor causes any formatting and images to show as code when you post.","OTHER"
"Adds tags around images and such making it look horrible.","OTHER"
"Particularly when trying to work on a computer at home and trying to finish on my phone.","OTHER"
"Ruined hours of work.","OTHER"
"Lots of good things about the app but that pretty much ruins it for me.","PROBLEM DISCOVERY"
"Not being able to even open a post mobile sucks.","OTHER"
"Love my healthy  Lifestyle  Positive impact on your health  THINKING ABOUT YOUR HEALTH ONLY","OTHER"
"great","OTHER"
"I just recently got on the blogging stuff.","OTHER"
"But WordPress makes it easy to blog and have fun while blogging.","OTHER"
"Quick and easy for on the go!","OTHER"
"Very new to this, but seems easy enough.","OTHER"
"can't add photos to my blog from the app tho, I have to do it in a web browser!","PROBLEM DISCOVERY"
"The app doesn't open the upload box.","OTHER"
"I'm on a Samsung galaxy note 2014 edition.","OTHER"
"Fantastic!","OTHER"
"thanks","OTHER"
"I don't ever give negative comments but my goodness!","OTHER"
"Creating a post is so frustrating.","OTHER"
"I do not recommend this app.","OTHER"
"Sorry","OTHER"
"Excellent Web script","OTHER"
"No way to edit plugins, edit code and more advanced stuff a selfhosted site would need.","OTHER"
"I have had a number of incidents of data loss with this app - I press the ""back"" button while composing and it doesn't save or offer to save what I've typed.","OTHER"
"It happens after the third or fourth save.","OTHER"
"This is unacceptable.","OTHER"
"Easy to manage and such good app","OTHER"
"Good","OTHER"
"Hey Mohammed","OTHER"
"Messed up all my info when I made the blog and won't let me fix it.","INFORMATION GIVING"
"Sucks","OTHER"
"Works perfectly well for blogging on the go and keeping up  with conversations.","OTHER"
"I wish I could clean out the spam folder though.","FEATURE REQUEST"
"I use a mobile device to upload  large apps and there is no option in this app to upload pdf's.","OTHER"
"Please fix.","PROBLEM DISCOVERY"
"Good","OTHER"
"I love this app.","OTHER"
"It keeps me blogging on the go.","OTHER"
"I had issues previously and learned they were due to user error.","PROBLEM DISCOVERY"
"Right now I can't find any flaws with this app.","PROBLEM DISCOVERY"
"Great job WordPress","OTHER"
"Great","OTHER"
"Excellent","OTHER"
"Just getting used to it.so far, impressed.","OTHER"
":)","OTHER"
"I love this app","OTHER"
"Easy to use, efficient and hasn't frozen on me.","OTHER"
"Wordpress for mobile is good and quick application for me.","OTHER"
"Make your body 100% naturally directly create and increase anti oxidant production in all mammals.","OTHER"
"Reduction of oxidative stress by 40% in 30 days.","OTHER"
"Oxidative stress is central to all disease","OTHER"
"Excellent","OTHER"
"The best UI that suits mobile devices for blogging!","OTHER"
"It's super awesome!","OTHER"
"It have everything we need.","OTHER"
"Excellent","OTHER"
"I've had to uninstall and re-install about three times.","OTHER"
"The app just closes whenever I try to open it.","OTHER"
"After re-installing, it'll work for a while before the same thing happens again.","OTHER"
"Please fix this.","PROBLEM DISCOVERY"
"It is a Great app though","OTHER"
"Like this Like this Like this Like this Like this Like this Like this Like this Like this Like this Like this Like this Like this Like this Like this Like this Like this Like this Like this Like this Like this Like this Like this","OTHER"
"Samsung Galaxy S5","OTHER"
"It's working just fine except for the Appearance &gt; Menus.","OTHER"
"I can't edit my menus, pages, and categories using my smartphone.","PROBLEM DISCOVERY"
"I can only post when using my phone.","OTHER"
"I cannot edit my tabs.","PROBLEM DISCOVERY"
"Where is the select feathered image option ?","INFORMATION SEEKING"
"Worst app ever!!!","OTHER"
"It never allows me to log in even after having reset my password AND reinstalling several times.","OTHER"
"DO NOT BOTHER WITH THIS FRAUD OF AN APP.it's easier to just access/edit your blog via your mobile web browser.","INFORMATION GIVING"
"#EpicFAIL #UNINSTALLED","OTHER"
"Nyc","OTHER"
"Need option to set feature image for the post, the option available for paid themes.","OTHER"
"Five star when option is available for same.","INFORMATION GIVING"
"Thanks.","OTHER"
"They quickly responded to complaints and reinstated stats page.","OTHER"
"This shows they listen to customers which is good.","OTHER"
"Rest of app is reliable and easy to use.","OTHER"
".","OTHER"
"Previous Comment &gt;&gt; Last upgrade is terrible: The stats pane is a major downgrade.","OTHER"
"I've lost the most valuable feature which was the page views.","OTHER"
"No idea how you can do this without a warning so people can NOT upgrade :-(","PROBLEM DISCOVERY"
"good","OTHER"
"Does what is says on the tin!","OTHER"
"Gooooooooooooood","OTHER"
"Good!","OTHER"
"Works well.","OTHER"
"Unable to manage comments reliably (comment not found error)","OTHER"
"A must have for a WP blogger","OTHER"
"This app helps.but need a little touch.","FEATURE REQUEST"
"There are two problems.","PROBLEM DISCOVERY"
"1.","OTHER"
"Cannot sync post with web version 2.","PROBLEM DISCOVERY"
"Duplicate post when edit post that just uploaded.","OTHER"
"The older version is better.","OTHER"
"Great","OTHER"
"After a slow start there seems to be a lot of effort going into making improvements with this app.","OTHER"
"One wonderful improvement would be the ability to link to other posts on the same blog by clicking on a drop down list of articles.","OTHER"
"App try it !!!","OTHER"
"I am using best right now","OTHER"
"Make the effing ""tips"" that came with the latest update go away.","OTHER"
"or have an option somewhere to make them go away.","OTHER"
"I'm well aware that pull down refreshes the page.","OTHER"
"I don't need to be told every on every page I view.","FEATURE REQUEST"
"Now that the stats are fixed this app is awesome.","OTHER"
"It fits my blog needs perfectly.","OTHER"
"Wordpress ok banget dan keren","OTHER"
"Excellent!","OTHER"
"Easy to get into.","OTHER"
"Allows you to do the basic stuff when you need it on the go.","FEATURE REQUEST"
"Holding out for hope","OTHER"
"Great app.","OTHER"
"It's a nice step but you have to improve","INFORMATION GIVING"
"It was working fine but now I keep getting socket time out exception.","OTHER"
"Selfhosted blog on hostgator.","OTHER"
"Used to work well till 2 weeks ago  Update: most of it works now","OTHER"
"Great app.","OTHER"
"Adding photos, and altering them later is not so user friendly :-(","FEATURE REQUEST"
"Love it!","OTHER"
"DONT AUTO UPDATE WITHOUT MY PERMISSION!","OTHER"
"!","OTHER"
"The theme I use relies on Featured Image.","OTHER"
"Would be great to be able to set that from this app.","FEATURE REQUEST"
"Galaxy S5.","OTHER"
"I like it,  but it is a little cumbersome to use the editor for writing a new post.","OTHER"
"Good app","OTHER"
"Great for updating your blog on the fly.","OTHER"
"I have been using this app for a while and enjoy posting from my phone but since the last version and after I reset my phone, I am not able to login into my custom site because it kicks me out and force close, before it worked perfect.","PROBLEM DISCOVERY"
"They were fixed with the last update, but this one made them not work again.","PROBLEM DISCOVERY"
"I rely on the stats.","OTHER"
"Please fix again.","PROBLEM DISCOVERY"
